Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported,Latitude,Longitude
Connecticut River,CONNECTICUT,Montague,MON305,1937,2019,996,68,0.9317269076305221,42.56422222222222,72.51186111111112
Connecticut River,CHICOPEE,Monson,MON323,1885,2019,1452,211,0.8546831955922864,42.132083333333334,72.31133333333334
Cape Cod and Islands,ISLANDS,Nantucket,NAN920,1991,2015,300,17,0.9433333333333334,42.132083333333334,72.31133333333334
Northeast,CONCORD,Natick,NATNWS,1852,2015,1968,159,0.9192073170731707,42.29772222222222,71.36975
Northeast,CHARLES,Needham,NEE716,1937,2019,996,74,0.9257028112449799,42.26855555555556,71.29519444444445
Connecticut River,CHICOPEE,New Salem,NEW308,1941,2015,900,52,0.9422222222222222,42.26855555555556,71.29519444444445
Connecticut River,CHICOPEE,New Salem,NEW311,1919,2015,1164,87,0.9252577319587629,42.26855555555556,71.29519444444445
Central,CHICOPEE,New Braintree,NEW422,1929,2015,1044,128,0.8773946360153256,42.26855555555556,71.29519444444445
Northeast,MERRIMACK,Newburyport,NEW602,1913,2019,1284,113,0.911993769470405,42.83375,70.91525
Northeast,,Newton,NEW712,1984,1987,48,0,1.0,42.83375,70.91525
Southeast,BUZZARDS BAY,New Bedford,NEW817,1930,2015,1032,73,0.9292635658914729,42.83375,70.91525
Northeast,MERRIMACK,Salisbury,NEWNWS,1991,2015,300,17,0.9433333333333334,42.83002777777778,70.93525000000001
Western,HUDSON,North Adams,NOR102,1994,2015,264,14,0.946969696969697,42.83002777777778,70.93525000000001
Connecticut River,CONNECTICUT,Mount Hermon,NOR301,1931,2019,1068,30,0.9719101123595506,42.668194444444445,72.48016666666666
Central,BLACKSTONE,Whitinsville,NOR514,1872,2015,1728,142,0.9178240740740741,42.11494444444445,71.67647222222223
Northeast,,North Andover,NOR550,2008,2015,96,0,1.0,42.11494444444445,71.67647222222223
,,North  Attleboro,NOR800,2008,2015,96,33,0.65625,42.11494444444445,71.67647222222223
Western,FARMINGTON,Monterey,OTI111,1913,2015,1236,134,0.8915857605177994,42.11494444444445,71.67647222222223
Western,FARMINGTON,Pittsfield,OTI115,1913,2019,1284,120,0.9065420560747663,42.160805555555555,73.05777777777777
Connecticut River,CHICOPEE,Three Rivers,PAL319,1921,2015,1116,114,0.8978494623655914,42.184305555555554,72.36266666666666
Northeast,,Peabody,PEA611,1992,2015,288,5,0.9826388888888888,42.184305555555554,72.36266666666666
Northeast,IPSWICH,Peabody,PEA612,1903,2019,1368,99,0.9276315789473684,42.53675,71.01202777777777
Connecticut River,CONNECTICUT,Pelham,PEL313,1994,2015,264,5,0.9810606060606061,42.53675,71.01202777777777
Southeast,SOUTH COASTAL,Pembroke,PEM804,1987,2019,396,41,0.8964646464646464,42.02302777777778,70.81705555555556
