Station,Year,Month,Precipitation
BOSNWS,1894,2,3.88
BOSNWS,1894,3,2.88
BOSNWS,1894,4,1.87
BOSNWS,1894,5,1.39
BOSNWS,1894,6,2.37
BOSNWS,1894,7,3.98
BOSNWS,1894,8,3.5
BOSNWS,1894,9,2.12
BOSNWS,1894,10,2.95
BOSNWS,1894,11,3.45
BOSNWS,1894,12,4.95
BOSNWS,1895,1,4.27
BOSNWS,1895,2,3.45
BOSNWS,1895,3,2.76
BOSNWS,1895,4,2.39
BOSNWS,1895,5,3.69
BOSNWS,1895,6,4.66
BOSNWS,1895,7,1.46
BOSNWS,1895,8,4.74
BOSNWS,1895,9,2.61
BOSNWS,1895,10,6.34
BOSNWS,1895,11,3.94
BOSNWS,1895,12,5.8
BOSNWS,1896,1,3.17
BOSNWS,1896,2,3.52
BOSNWS,1896,3,3.46
BOSNWS,1896,4,4.13
BOSNWS,1896,5,3.38
BOSNWS,1896,6,1.54
BOSNWS,1896,7,3.25
BOSNWS,1896,8,5.3
BOSNWS,1896,9,4.51
BOSNWS,1896,10,6.06
BOSNWS,1896,11,2.95
BOSNWS,1896,12,2.73
BOSNWS,1897,1,3.61
BOSNWS,1897,2,2.38
BOSNWS,1897,3,2.08
BOSNWS,1897,4,1.29
BOSNWS,1897,5,2.22
BOSNWS,1897,6,1.2
BOSNWS,1897,7,11.6
BOSNWS,1897,8,3.46
BOSNWS,1897,9,3.94
BOSNWS,1897,10,6.89
BOSNWS,1897,11,2.17
BOSNWS,1897,12,3.52
BOSNWS,1898,1,0.79
BOSNWS,1898,2,3.87
BOSNWS,1898,3,2.2
BOSNWS,1898,4,4.61
BOSNWS,1898,5,1.36
BOSNWS,1898,6,2.02
BOSNWS,1898,7,3.16
BOSNWS,1898,8,3.27
BOSNWS,1898,9,2.92
BOSNWS,1898,10,3.07
BOSNWS,1898,11,2.3
BOSNWS,1898,12,2.64
BOSNWS,1899,1,2.55
BOSNWS,1899,2,3.04
BOSNWS,1899,3,3.37
BOSNWS,1899,4,2.1
BOSNWS,1899,5,3.24
BOSNWS,1899,6,
BOSNWS,1899,7,
BOSNWS,1899,8,
BOSNWS,1899,9,
BOSNWS,1899,10,
BOSNWS,1899,11,
BOSNWS,1899,12,
BOSNWS,1900,1,
BOSNWS,1900,2,
