,Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported
4456,Northeast,BOSTON HARBOR,Hingham,HIN724,1917,2019,1236,824,0.33333333333333337
4559,Northeast,BOSTON HARBOR,Hingham,HINNWS,1992,2015,288,0,1.0
4583,Connecticut River,CONNECTICUT,Holyoke,HOL217,1897,2015,1428,0,1.0
4702,Central,NASHUA,Holden,HOL423,1912,2019,1296,0,1.0
4810,Central,NASHUA,W. Boylston,HOLMDC,1966,2015,600,0,1.0
4860,Cape Cod and Islands,CAPE COD,Hyannis,HYANWS,1946,2015,840,0,1.0
4930,Northeast,IPSWICH,Ipswich,IPS606,1911,2015,1260,0,1.0
5035,Connecticut River,WESTFIELD,Huntington,KNICOE,1940,2015,900,75,0.9166666666666666
5110,Southeast,TAUNTON,Lakeville,LAK810,1894,2019,1512,0,1.0
5236,Western,HOUSATONIC,Lanesborough,LANNWS,1992,1996,60,40,0.33333333333333337
5241,Northeast,MERRIMACK,Andover,LAWNWS,1856,2015,1716,0,1.0
5384,Central,NASHUA,Leominster,LEO517,1965,2019,660,0,1.0
5439,Northeast,MERRIMACK,Littleton,LIT506,1918,2019,1224,0,1.0
5541,Connecticut River,WESTFIELD,Huntington,LITCOE,1984,2015,384,0,1.0
5573,Northeast,MERRIMACK,Lowell,LOWNWS,1855,2015,1932,0,1.0
5734,Connecticut River,CHICOPEE,Ludlow,LUD318,1875,2019,1740,0,1.0
5879,Central,NASHUA,Lunenburg,LUN518,1987,2015,348,0,1.0
5908,Northeast,NORTH COASTAL,Lynn,LYN614,1872,2019,1776,148,0.9166666666666666
6056,Northeast,NORTH COASTAL,Manchester,MAN610,1913,1997,1020,0,1.0
6141,Southeast,TEN MILE,Mansfield,MAN799,1976,2019,528,0,1.0
6185,Southeast,TAUNTON,Mansfield,MAN802,1921,2019,1188,0,1.0
6284,Northeast,NORTH COASTAL,Manchester,MANACO,1995,1996,24,2,0.9166666666666666
6286,Northeast,CONCORD,Marlboro,MAR512,1900,2019,1440,0,1.0
6406,Northeast,NORTH COASTAL,Marblehead,MARNWS,1992,2015,288,0,1.0
6430,Northeast,CONCORD,Maynard,MAY516,1964,2015,624,0,1.0
6482,Southeast,CHARLES,Medway,MEDNWS,1992,2015,288,0,1.0
6506,Northeast,MERRIMACK,Methuen,METACO,1995,2015,192,16,0.9166666666666666
6522,Southeast,TAUNTON,Middleborough,MID809,1886,2015,1560,0,1.0
6652,Northeast,IPSWICH,Middleton,MIDNWS,1925,2015,1092,0,1.0
6743,Southeast,CHARLES,Milford,MIL513,1915,2015,1212,0,1.0
6844,Southeast,CHARLES,Millis,MIL721,1920,2019,1200,0,1.0
6944,Northeast,BOSTON HARBOR,Milton,MILNWS,1885,2015,1572,0,1.0
7075,Connecticut River,CONNECTICUT,Montague,MON305,1937,2019,996,0,1.0
7158,Connecticut River,CHICOPEE,Monson,MON323,1885,2019,1452,0,1.0
7279,Cape Cod and Islands,ISLANDS,Nantucket,NAN920,1991,2015,300,75,0.75
7304,Northeast,CONCORD,Natick,NATNWS,1852,2015,1968,0,1.0
7468,Northeast,CHARLES,Needham,NEE716,1937,2019,996,0,1.0
7551,Connecticut River,CHICOPEE,New Salem,NEW308,1941,2015,900,0,1.0
7626,Connecticut River,CHICOPEE,New Salem,NEW311,1919,2015,1164,0,1.0
7723,Central,CHICOPEE,New Braintree,NEW422,1929,2015,1044,0,1.0
7810,Northeast,MERRIMACK,Newburyport,NEW602,1913,2019,1284,0,1.0
7921,Southeast,BUZZARDS BAY,New Bedford,NEW817,1930,2015,1032,0,1.0
8007,Northeast,MERRIMACK,Salisbury,NEWNWS,1991,2015,300,50,0.8333333333333334
8032,Western,HUDSON,North Adams,NOR102,1994,2015,264,0,1.0
8054,Connecticut River,CONNECTICUT,Mount Hermon,NOR301,1931,2019,1068,0,1.0
8143,Central,BLACKSTONE,Whitinsville,NOR514,1872,2015,1728,0,1.0
8303,Western,FARMINGTON,Monterey,OTI111,1913,2015,1236,1236,0.0
8406,Western,FARMINGTON,Pittsfield,OTI115,1913,2019,1284,0,1.0
8513,Connecticut River,CHICOPEE,Three Rivers,PAL319,1921,2015,1116,0,1.0
8630,Northeast,IPSWICH,Peabody,PEA612,1903,2019,1368,0,1.0
8744,Connecticut River,CONNECTICUT,Pelham,PEL313,1994,2015,264,0,1.0
8766,Southeast,SOUTH COASTAL,Pembroke,PEM804,1987,2019,396,0,1.0
8799,Northeast,NASHUA,Pepperell,PEP503,1935,1997,756,0,1.0
8862,Northeast,NASHUA,Pepperell,PEPNWS,1991,1997,84,0,1.0
8869,Central,MILLERS,Petersham,PET408,1916,2015,1200,0,1.0
8969,Central,CHICOPEE,Petersham,PET409,1939,2015,924,0,1.0
9046,Central,MILLERS,Petersham,PETNWS,1991,1996,72,6,0.9166666666666666
9052,Western,HOUSATONIC,Pittsfield,PIT105,1994,2015,252,0,1.0
9073,Western,HOUSATONIC,Pittsfield,PIT106,1997,2015,216,216,0.0
9091,Connecticut River,WESTFIELD,Plainfield,PLA205,1919,2015,1164,0,1.0
9188,Southeast,SOUTH COASTAL,Plymouth,PLY811,1898,2015,1416,0,1.0
9306,Southeast,SOUTH COASTAL,North Plymouth,PLYNWS,1886,2015,1500,0,1.0
9431,Central,NASHUA,Princeton,PRI412,1984,2017,408,0,1.0
9465,Central,NASHUA,Princeton,PRIMDC,1963,2015,636,0,1.0
9518,Northeast,BOSTON HARBOR,Reading,REANWS,1899,2015,1404,0,1.0
9635,Southeast,SOUTH COASTAL,Rockland,ROC745,1987,2019,396,165,0.5833333333333333
9668,Northeast,NORTH COASTAL,Rockport,ROCACO,1995,1996,24,4,0.8333333333333334
9670,Southeast,TAUNTON,East Freetown,ROCNWS,1895,2015,1452,0,1.0
9791,Central,CHICOPEE,South Barre,RUT417,1927,2015,1068,0,1.0
9880,Central,NASHUA,Rutland,RUT418,1931,2015,1020,85,0.9166666666666666
9965,Northeast,NORTH COASTAL,Salem,SAL613,1910,2015,1272,0,1.0
10071,Cape Cod and Islands,CAPE COD,Sandwich,SAN905,1997,2019,264,0,1.0
10093,Cape Cod and Islands,CAPE COD,Sandwich,SAN915,1993,2019,324,0,1.0
10120,Southeast,SOUTH COASTAL,Scituate,SCI733,1930,2019,1080,720,0.33333333333333337
10210,Connecticut River,DEERFIELD,Shelburne Falls,SHL204,1992,1997,72,0,1.0
10216,Central,QUINEBAUG,Southbridge,SOU430,1912,2015,1248,0,1.0
10320,Central,NASHUA,Sterling,STEMDC,1965,2015,612,0,1.0
10371,Western,HOUSATONIC,Stockbridge,STO109,1919,2019,1212,202,0.8333333333333334
10472,Western,HOUSATONIC,Chester,STO110,1992,1996,60,25,0.5833333333333333
10477,Northeast,CONCORD,Sudbury,SUD518,2001,2019,228,0,1.0
10496,Connecticut River,CONNECTICUT,Sunderland,SUNNWS,1992,2015,288,0,1.0
10520,Southeast,TAUNTON,Taunton,TAU806,1953,2015,756,0,1.0
10583,Southeast,TAUNTON,Taunton,TAUNW2,2012,2015,48,4,0.9166666666666666
10587,Southeast,TAUNTON,Taunton,TAUNWS,1874,2015,1704,0,1.0
10729,Connecticut River,MILLERS,Baldwinville,TEM403,1994,2015,264,22,0.9166666666666666
10751,Central,MILLERS,Templeton,TEM405,1907,2015,1284,107,0.9166666666666666
10858,Cape Cod and Islands,ISLANDS,Vineyard Haven,TIS906,1929,2019,1080,0,1.0
10948,Northeast,IPSWICH,Topsfield,TOP607,1997,2015,216,0,1.0
10966,Central,MILLERS,Athol,TULCOE,1984,2015,384,0,1.0
10998,Central,BLACKSTONE,Uxbridge,UXB515,1931,2015,1020,255,0.75
11083,Northeast,NORTH COASTAL,Wakefield,WAK706,1937,2019,996,0,1.0
11166,Northeast,CHARLES,Waltham,WAL709,1880,2015,1632,0,1.0
11302,Southeast,BOSTON HARBOR,Walpole,WAL731,1987,2015,348,0,1.0
11331,Connecticut River,CHICOPEE,Ware Center,WAR315,1919,2015,1164,97,0.9166666666666666
11428,Central,CHICOPEE,Warren,WAR427,1911,2015,1236,0,1.0
11531,Southeast,BUZZARDS BAY,Onset,WAR815,1917,2015,1188,0,1.0
11630,Connecticut River,CHICOPEE,Ware,WARNWS,1992,2015,288,72,0.75
11657,Connecticut River,WESTFIELD,Westfield,WES218,1912,2015,1248,0,1.0
11761,Connecticut River,WESTFIELD,Westfield,WES219,1918,2015,1176,0,1.0
11859,Connecticut River,WESTFIELD,West Springfield,WES221,1965,2019,660,0,1.0
11914,Northeast,MERRIMACK,Westford,WES507,2001,2019,228,0,1.0
11933,Northeast,CONCORD,Westboro,WES508,1982,2015,408,0,1.0
11967,Central,NASHUA,West Boylston,WES509,1944,2019,912,76,0.9166666666666666
12043,Central,BLACKSTONE,Uxbridge,WESCOE,1984,2015,384,0,1.0
12075,Northeast,BOSTON HARBOR,Weymouth,WEY738,1972,2019,576,0,1.0
12123,Connecticut River,FARMINGTON,Granville,WGRNWS,1992,1996,60,0,1.0
12128,Western,HUDSON,Williamstown,WIL101,1999,2015,204,51,0.75
12145,Western,HUDSON,Williamstown,WIL103,2009,2019,132,0,1.0
12156,Connecticut River,CONNECTICUT,Williamsburg,WIL210,1913,1996,1008,0,1.0
12240,Northeast,IPSWICH,Wilmington,WIL703,1933,2019,1044,522,0.5
12327,Western,HOUSATONIC,Windsor,WIN107,2003,2019,204,17,0.9166666666666666
12344,Central,MILLERS,Winchendon,WIN402,1893,2019,1524,0,1.0
12471,Northeast,BOSTON HARBOR,Winchester,WIN705,1875,2019,1740,0,1.0
12616,Northeast,BOSTON HARBOR,Woburn,WOB702,1987,2015,348,0,1.0
12645,Connecticut River,WESTFIELD,Worthington,WOR208,1917,2015,1188,0,1.0
12744,Central,BLACKSTONE,Worcester,WORNWS,1950,2015,792,0,1.0
12810,Southeast,CHARLES,Wrentham,WRE729,1948,2019,864,144,0.8333333333333334
12882,Southeast,BLACKSTONE,Wrentham,WRE730,1921,2015,1140,0,1.0
12977,Cape Cod and Islands,CAPE COD,West Yarmouth,YAR911,1992,2015,288,0,1.0
