Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported
Central,QUINEBAUG,Southbridge,SOU430,1912,2015,1248,0,1.0
Central,NASHUA,Sterling,STEMDC,1965,2015,612,0,1.0
Western,HOUSATONIC,Stockbridge,STO109,1919,2019,1212,202,0.8333333333333334
Western,HOUSATONIC,Chester,STO110,1992,1996,60,25,0.5833333333333333
Northeast,CONCORD,Sudbury,SUD518,2001,2019,228,0,1.0
Connecticut River,CONNECTICUT,Sunderland,SUNNWS,1992,2015,288,0,1.0
Southeast,TAUNTON,Taunton,TAU806,1953,2015,756,0,1.0
Southeast,TAUNTON,Taunton,TAUNW2,2012,2015,48,4,0.9166666666666666
Southeast,TAUNTON,Taunton,TAUNWS,1874,2015,1704,0,1.0
Connecticut River,MILLERS,Baldwinville,TEM403,1994,2015,264,22,0.9166666666666666
Central,MILLERS,Templeton,TEM405,1907,2015,1284,107,0.9166666666666666
Cape Cod and Islands,ISLANDS,Vineyard Haven,TIS906,1929,2019,1080,0,1.0
Northeast,IPSWICH,Topsfield,TOP607,1997,2015,216,0,1.0
Central,MILLERS,Athol,TULCOE,1984,2015,384,0,1.0
Central,BLACKSTONE,Uxbridge,UXB515,1931,2015,1020,255,0.75
Northeast,NORTH COASTAL,Wakefield,WAK706,1937,2019,996,0,1.0
Northeast,CHARLES,Waltham,WAL709,1880,2015,1632,0,1.0
Southeast,BOSTON HARBOR,Walpole,WAL731,1987,2015,348,0,1.0
Connecticut River,CHICOPEE,Ware Center,WAR315,1919,2015,1164,97,0.9166666666666666
Central,CHICOPEE,Warren,WAR427,1911,2015,1236,0,1.0
Southeast,BUZZARDS BAY,Onset,WAR815,1917,2015,1188,0,1.0
Connecticut River,CHICOPEE,Ware,WARNWS,1992,2015,288,72,0.75
Connecticut River,WESTFIELD,Westfield,WES218,1912,2015,1248,0,1.0
Connecticut River,WESTFIELD,Westfield,WES219,1918,2015,1176,0,1.0
Connecticut River,WESTFIELD,West Springfield,WES221,1965,2019,660,0,1.0
Northeast,MERRIMACK,Westford,WES507,2001,2019,228,0,1.0
Northeast,CONCORD,Westboro,WES508,1982,2015,408,0,1.0
Central,NASHUA,West Boylston,WES509,1944,2019,912,76,0.9166666666666666
Central,BLACKSTONE,Uxbridge,WESCOE,1984,2015,384,0,1.0
Northeast,BOSTON HARBOR,Weymouth,WEY738,1972,2019,576,0,1.0
Connecticut River,FARMINGTON,Granville,WGRNWS,1992,1996,60,0,1.0
Western,HUDSON,Williamstown,WIL101,1999,2015,204,51,0.75
Western,HUDSON,Williamstown,WIL103,2009,2019,132,0,1.0
Connecticut River,CONNECTICUT,Williamsburg,WIL210,1913,1996,1008,0,1.0
Northeast,IPSWICH,Wilmington,WIL703,1933,2019,1044,522,0.5
Western,HOUSATONIC,Windsor,WIN107,2003,2019,204,17,0.9166666666666666
Central,MILLERS,Winchendon,WIN402,1893,2019,1524,0,1.0
Northeast,BOSTON HARBOR,Winchester,WIN705,1875,2019,1740,0,1.0
Northeast,BOSTON HARBOR,Woburn,WOB702,1987,2015,348,0,1.0
Connecticut River,WESTFIELD,Worthington,WOR208,1917,2015,1188,0,1.0
Central,BLACKSTONE,Worcester,WORNWS,1950,2015,792,0,1.0
Southeast,CHARLES,Wrentham,WRE729,1948,2019,864,144,0.8333333333333334
Southeast,BLACKSTONE,Wrentham,WRE730,1921,2015,1140,0,1.0
Cape Cod and Islands,CAPE COD,West Yarmouth,YAR911,1992,2015,288,0,1.0
