Station,Year,Month,Precipitation
LYN614,2016,4,1.81
LYN614,2016,5,3.58
LYN614,2016,6,4.02
LYN614,2016,7,1.89
LYN614,2016,8,3.84
LYN614,2016,9,2.26
LYN614,2016,10,4.68
LYN614,2016,11,2.16
LYN614,2016,12,2.67
LYN614,2017,1,4.3
LYN614,2017,2,3.13
LYN614,2017,3,1.61
LYN614,2017,4,3.07
LYN614,2017,5,2.09
LYN614,2017,6,4.36
LYN614,2017,7,8.24
LYN614,2017,8,1.75
LYN614,2017,9,4.92
LYN614,2017,10,1.71
LYN614,2017,11,6.47
LYN614,2017,12,6.62
LYN614,2018,1,3.29
LYN614,2018,2,2.89
LYN614,2018,3,2.36
LYN614,2018,4,2.49
LYN614,2018,5,1.16
LYN614,2018,6,1.15
LYN614,2018,7,3.5
LYN614,2018,8,3.02
LYN614,2018,9,12.52
LYN614,2018,10,1.85
LYN614,2018,11,2.94
LYN614,2018,12,3.45
LYN614,2019,1,8.46
LYN614,2019,2,2.44
LYN614,2019,3,1.01
LYN614,2019,4,4.41
LYN614,2019,5,1.34
LYN614,2019,6,2.43
LYN614,2019,7,3.96
LYN614,2019,8,1.69
LYN614,2019,9,1.73
LYN614,2019,10,2.46
LYN614,2019,11,3.23
LYN614,2019,12,1.91
